nohup: ignoring input
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
Detected kernel version 5.4.210, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 33.99it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 28.30it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 28.25it/s]
[stage2] run initialized run_id=stage2_grpo_qwen3_4b_1gpu_20260821_152713 output_dir=/mnt/bn/fs-llm-train-v2/mlx/users/lijing/SIEVE/outputs/stage2-qwen3-4b run_dir=/mnt/bn/fs-llm-train-v2/mlx/users/lijing/SIEVE/outputs/stage2-qwen3-4b/runs/stage2_grpo_qwen3_4b_1gpu_20260821_152713
[stage2] iter=1/200 lr=8.333e-07 return=0.0000 score=0.0000 success=0.0000 parse=0.8485 reward_var=0.000000 policy_loss=0.000000 kl=0.000266 false_update=0.1250 stall=0.6250
[stage2] iter=16/200 lr=4.967e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020103 false_update=0.0000 stall=0.0000
[stage2] iter=17/200 lr=4.960e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011769 false_update=0.0000 stall=0.0000
[stage2] iter=18/200 lr=4.953e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008021 false_update=0.0000 stall=0.0000
[stage2] iter=19/200 lr=4.945e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011037 false_update=0.0000 stall=0.0000
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
[stage2] iter=20/200 lr=4.936e-06 return=0.3873 score=0.3638 success=0.0000 parse=1.0000 reward_var=0.037286 policy_loss=0.094628 kl=0.021196 false_update=0.0000 stall=0.1250
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=21/200 lr=4.927e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.006235 false_update=0.0000 stall=0.0000
[stage2] iter=22/200 lr=4.917e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.004146 false_update=0.0000 stall=0.0000
[stage2] iter=23/200 lr=4.906e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020176 false_update=0.0000 stall=0.0000
[stage2] iter=24/200 lr=4.895e-06 return=0.3873 score=0.3666 success=0.0000 parse=1.0000 reward_var=0.034730 policy_loss=0.092067 kl=0.077246 false_update=0.0000 stall=0.1250
[stage2] iter=25/200 lr=4.883e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.003431 false_update=0.0000 stall=0.0000
[stage2] iter=26/200 lr=4.870e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008580 false_update=0.0000 stall=0.0000
[stage2] iter=27/200 lr=4.857e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011098 false_update=0.0000 stall=0.0000
[stage2] iter=28/200 lr=4.843e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.029405 false_update=0.0000 stall=0.0000
[stage2] iter=29/200 lr=4.829e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.007286 false_update=0.0000 stall=0.0000
[stage2] iter=30/200 lr=4.814e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015471 false_update=0.0000 stall=0.0000
[stage2] iter=31/200 lr=4.798e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011473 false_update=0.0000 stall=0.0000
[stage2] iter=32/200 lr=4.782e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020391 false_update=0.0000 stall=0.0000
[stage2] iter=33/200 lr=4.765e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.013225 false_update=0.0000 stall=0.0000
[stage2] iter=34/200 lr=4.747e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.023470 false_update=0.0000 stall=0.0000
[stage2] iter=35/200 lr=4.729e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.003360 false_update=0.0000 stall=0.0000
[stage2] iter=36/200 lr=4.711e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020790 false_update=0.0000 stall=0.0000
[stage2] iter=37/200 lr=4.692e-06 return=0.3320 score=0.3320 success=0.0000 parse=1.0000 reward_var=0.024492 policy_loss=-0.069397 kl=0.041329 false_update=0.0000 stall=0.0000
[stage2] iter=38/200 lr=4.672e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018361 false_update=0.0000 stall=0.0000
[stage2] iter=39/200 lr=4.651e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.022836 false_update=0.0000 stall=0.0000
[stage2] iter=40/200 lr=4.631e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.006234 false_update=0.0000 stall=0.0000
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=41/200 lr=4.609e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.019230 false_update=0.0000 stall=0.0000
[stage2] iter=42/200 lr=4.587e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.021770 false_update=0.0000 stall=0.0000
[stage2] iter=43/200 lr=4.565e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.024874 false_update=0.0000 stall=0.0000
[stage2] iter=44/200 lr=4.541e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.014096 false_update=0.0000 stall=0.0000
[stage2] iter=45/200 lr=4.518e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.009468 false_update=0.0000 stall=0.0000
[stage2] iter=46/200 lr=4.494e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.013888 false_update=0.0000 stall=0.0000
[stage2] iter=47/200 lr=4.469e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020164 false_update=0.0000 stall=0.0000
[stage2] iter=48/200 lr=4.444e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.005104 false_update=0.0000 stall=0.0000
[stage2] iter=49/200 lr=4.418e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015354 false_update=0.0000 stall=0.0000
[stage2] iter=50/200 lr=4.392e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010769 false_update=0.0000 stall=0.0000
[stage2] iter=51/200 lr=4.365e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.001816 false_update=0.0000 stall=0.0000
[stage2] iter=52/200 lr=4.338e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011695 false_update=0.0000 stall=0.0000
[stage2] iter=53/200 lr=4.310e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.019067 false_update=0.0000 stall=0.0000
[stage2] iter=54/200 lr=4.282e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010281 false_update=0.0000 stall=0.0000
[stage2] iter=55/200 lr=4.253e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.016339 false_update=0.0000 stall=0.0000
[stage2] iter=56/200 lr=4.224e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011477 false_update=0.0000 stall=0.0000
[stage2] iter=57/200 lr=4.195e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.023519 false_update=0.0000 stall=0.0000
[stage2] iter=58/200 lr=4.165e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.016698 false_update=0.0000 stall=0.0000
[stage2] iter=59/200 lr=4.134e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.014335 false_update=0.0000 stall=0.0000
[stage2] iter=60/200 lr=4.104e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.012533 false_update=0.0000 stall=0.0000
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=61/200 lr=4.072e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020300 false_update=0.0000 stall=0.0000
[stage2] iter=62/200 lr=4.041e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.014998 false_update=0.0000 stall=0.0000
[stage2] iter=63/200 lr=4.008e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.024766 false_update=0.0000 stall=0.0000
[stage2] iter=64/200 lr=3.976e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010227 false_update=0.0000 stall=0.0000
[stage2] iter=65/200 lr=3.943e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011123 false_update=0.0000 stall=0.0000
[stage2] iter=66/200 lr=3.910e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008498 false_update=0.0000 stall=0.0000
[stage2] iter=67/200 lr=3.876e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011275 false_update=0.0000 stall=0.0000
[stage2] iter=68/200 lr=3.842e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.023387 false_update=0.0000 stall=0.0000
[stage2] iter=69/200 lr=3.808e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.023979 false_update=0.0000 stall=0.0000
[stage2] iter=70/200 lr=3.773e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.025850 false_update=0.0000 stall=0.0000
[stage2] iter=71/200 lr=3.738e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018936 false_update=0.0000 stall=0.0000
[stage2] iter=72/200 lr=3.703e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010599 false_update=0.0000 stall=0.0000
[stage2] iter=73/200 lr=3.667e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.009468 false_update=0.0000 stall=0.0000
[stage2] iter=74/200 lr=3.631e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.022164 false_update=0.0000 stall=0.0000
[stage2] iter=75/200 lr=3.595e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.016360 false_update=0.0000 stall=0.0000
[stage2] iter=76/200 lr=3.559e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.002281 false_update=0.0000 stall=0.0000
[stage2] iter=77/200 lr=3.522e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.019726 false_update=0.0000 stall=0.0000
[stage2] iter=78/200 lr=3.485e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.003064 false_update=0.0000 stall=0.0000
[stage2] iter=79/200 lr=3.447e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008992 false_update=0.0000 stall=0.0000
[stage2] iter=80/200 lr=3.410e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017148 false_update=0.0000 stall=0.0000
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=81/200 lr=3.372e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010415 false_update=0.0000 stall=0.0000
[stage2] iter=82/200 lr=3.334e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.028457 false_update=0.0000 stall=0.0000
[stage2] iter=83/200 lr=3.296e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.021535 false_update=0.0000 stall=0.0000
[stage2] iter=84/200 lr=3.257e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.009581 false_update=0.0000 stall=0.0000
[stage2] iter=85/200 lr=3.218e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017612 false_update=0.0000 stall=0.0000
[stage2] iter=86/200 lr=3.180e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015138 false_update=0.0000 stall=0.0000
[stage2] iter=87/200 lr=3.141e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.026482 false_update=0.0000 stall=0.0000
[stage2] iter=88/200 lr=3.101e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.020850 false_update=0.0000 stall=0.0000
[stage2] iter=89/200 lr=3.062e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.002661 false_update=0.0000 stall=0.0000
[stage2] iter=90/200 lr=3.022e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018239 false_update=0.0000 stall=0.0000
[stage2] iter=91/200 lr=2.983e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.011169 false_update=0.0000 stall=0.0000
[stage2] iter=92/200 lr=2.943e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.013219 false_update=0.0000 stall=0.0000
[stage2] iter=93/200 lr=2.903e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008338 false_update=0.0000 stall=0.0000
[stage2] iter=94/200 lr=2.863e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.016235 false_update=0.0000 stall=0.0000
[stage2] iter=95/200 lr=2.823e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.019045 false_update=0.0000 stall=0.0000
[stage2] iter=96/200 lr=2.783e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.002191 false_update=0.0000 stall=0.0000
[stage2] iter=97/200 lr=2.743e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017287 false_update=0.0000 stall=0.0000
[stage2] iter=98/200 lr=2.702e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015155 false_update=0.0000 stall=0.0000
[stage2] iter=99/200 lr=2.662e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018907 false_update=0.0000 stall=0.0000
[stage2] iter=100/200 lr=2.621e-06 return=0.6053 score=0.6053 success=0.1250 parse=1.0000 reward_var=0.158774 policy_loss=-0.204335 kl=0.146074 false_update=0.1250 stall=0.0000
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=101/200 lr=2.581e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.037635 false_update=0.0000 stall=0.0000
[stage2] iter=102/200 lr=2.540e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017996 false_update=0.0000 stall=0.0000
[stage2] iter=103/200 lr=2.500e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008256 false_update=0.0000 stall=0.0000
[stage2] iter=104/200 lr=2.460e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.026081 false_update=0.0000 stall=0.0000
[stage2] iter=105/200 lr=2.419e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018797 false_update=0.0000 stall=0.0000
[stage2] iter=106/200 lr=2.379e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.012326 false_update=0.0000 stall=0.0000
[stage2] iter=107/200 lr=2.338e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.006040 false_update=0.0000 stall=0.0000
[stage2] iter=108/200 lr=2.298e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.014674 false_update=0.0000 stall=0.0000
[stage2] iter=109/200 lr=2.257e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015557 false_update=0.0000 stall=0.0000
[stage2] iter=110/200 lr=2.217e-06 return=0.3873 score=0.3873 success=0.0000 parse=1.0000 reward_var=0.018369 policy_loss=0.094662 kl=0.015674 false_update=0.0000 stall=0.1250
[stage2] iter=111/200 lr=2.177e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015186 false_update=0.0000 stall=0.0000
[stage2] iter=112/200 lr=2.137e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010464 false_update=0.0000 stall=0.0000
[stage2] iter=113/200 lr=2.097e-06 return=0.3857 score=0.3857 success=0.0000 parse=0.9697 reward_var=0.018386 policy_loss=0.275505 kl=0.174686 false_update=0.0000 stall=0.1250
[stage2] iter=114/200 lr=2.057e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.012611 false_update=0.0000 stall=0.0000
[stage2] iter=115/200 lr=2.017e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.023086 false_update=0.0000 stall=0.0000
[stage2] iter=116/200 lr=1.978e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.013070 false_update=0.0000 stall=0.0000
[stage2] iter=117/200 lr=1.938e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017925 false_update=0.0000 stall=0.0000
[stage2] iter=118/200 lr=1.899e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017960 false_update=0.0000 stall=0.0000
[stage2] iter=119/200 lr=1.859e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018471 false_update=0.0000 stall=0.0000
[stage2] iter=120/200 lr=1.820e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.010744 false_update=0.0000 stall=0.0000
Removed shared tensor {'base_model.model.lm_head.weight'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
[stage2] iter=121/200 lr=1.782e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.021251 false_update=0.0000 stall=0.0000
[stage2] iter=122/200 lr=1.743e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015629 false_update=0.0000 stall=0.0000
[stage2] iter=123/200 lr=1.704e-06 return=0.3873 score=0.3873 success=0.0000 parse=1.0000 reward_var=0.018369 policy_loss=0.092979 kl=0.130328 false_update=0.0000 stall=0.1250
[stage2] iter=124/200 lr=1.666e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.015890 false_update=0.0000 stall=0.0000
[stage2] iter=125/200 lr=1.628e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.018045 false_update=0.0000 stall=0.0000
[stage2] iter=126/200 lr=1.590e-06 return=0.3873 score=0.3873 success=0.0000 parse=1.0000 reward_var=0.018369 policy_loss=0.092051 kl=0.053986 false_update=0.0000 stall=0.1250
[stage2] iter=127/200 lr=1.553e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.001075 false_update=0.0000 stall=0.0000
